,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,6,6,aide,help
7,7,7,demande,request
8,8,8,genre,kind
9,9,9,mois,month
10,10,10,frère,brother
11,11,11,laisser,let
12,12,12,car,because
13,13,13,mettre,to put
14,14,14,aucun,no
15,15,15,laisse,leash
16,16,16,eux,them
17,17,17,ville,city
18,18,18,chaque,each
19,19,19,parlé,speak
20,20,20,arrivé,come
21,21,21,devrait,should
22,22,22,bébé,baby
23,23,23,longtemps,long time
24,24,24,heures,hours
25,25,25,vont,will
26,26,26,pendant,while
27,27,27,revoir,meet again
28,28,28,aucune,any
29,29,29,place,square
30,31,32,savais,knew
31,32,33,étaient,were
32,33,34,attention,Warning
33,34,35,voici,here is
34,35,36,pourrais,could
35,36,37,affaire,case
36,37,38,donner,give
37,38,39,type,type
38,39,40,leurs,their
39,40,41,donné,given
40,41,42,train,train
41,42,43,corps,body
42,43,44,endroit,place
43,44,45,yeux,eyes
44,45,46,façon,way
45,46,47,écoute,listen
46,47,48,dont,whose
47,48,49,trouve,find
48,49,50,perdu,lost
49,50,51,main,hand
50,51,52,première,first
51,52,53,côté,side
52,53,54,pouvoir,power
53,54,55,vieux,old
54,55,56,sois,be
55,56,57,tiens,here
56,57,58,matin,morning
57,58,59,tellement,so much
58,59,60,enfant,child
59,60,61,point,point
60,61,62,venu,came
61,62,63,suite,after
62,63,64,pardon,sorry
63,64,65,venez,come
64,65,66,devant,in front of
65,66,67,vers,towards
66,67,68,minutes,minutes
67,68,69,demandé,request
68,69,70,chambre,bedroom
69,70,71,mis,placed
70,71,72,belle,beautiful
71,72,73,droit,law
72,73,74,aimerais,would like to
73,74,75,aujourd'hui,today
74,75,76,mari,husband
75,76,77,cause,cause
76,77,78,enfin,finally
77,78,79,espère,hope
78,79,80,eau,water
79,80,81,attendez,Wait
80,81,82,parti,left
81,82,83,nouvelle,new
82,83,84,boulot,job
83,84,85,arrêter,Stop
84,85,86,dirait,would say
85,86,87,terre,Earth
86,87,88,compte,account
87,88,89,donne,given
88,89,90,loin,far
89,90,91,fin,end
90,91,92,croire,believe
91,92,93,chérie,sweetheart
92,93,94,gros,large
93,94,95,plutôt,rather
94,95,96,aura,will have
95,96,97,filles,girls
96,97,98,jouer,to play
97,98,99,bureau,office
